key;context;text_es;text_eu;notes;active;updated_at
app.language;app;Idioma;Hizkuntza;;TRUE;
app.nav.odoo;app;Conexión y descarga de Odoo;Odoo konexioa eta deskarga;;TRUE;
app.nav.analysis;app;Análisis de datos;Datuen analisia;;TRUE;
app.nav.configuration;app;Configuración;Konfigurazioa;;TRUE;
app.nav.exploration;app;Exploración Odoo;Odoo esplorazioa;;TRUE;
app.config.section;app;Apartado de configuración;Konfigurazio atala;;TRUE;
app.config.classification;app;Clasificación proyectos/tareas;Proiektu/zereginen sailkapena;LEGACY - sustituido por clasificacion de gestion;FALSE;
app.config.available_hours;app;Horas disponibles mensuales;Hileko ordu erabilgarriak;;TRUE;
app.config.workload;app;Jornadas por persona;Pertsonen lanaldia;;TRUE;
app.config.language;app;Idioma;Hizkuntza;;TRUE;
app.analysis.title;app;Análisis de datos - Carga anual por departamento;Datuen analisia - Urteko karga sailaren arabera;;TRUE;
app.filters.view_config;app;Configuración de vista;Ikuspegiaren konfigurazioa;;TRUE;
app.filters.year;app;Año;Urtea;;TRUE;
app.filters.department;app;Departamento;Saila;;TRUE;
app.filters.subdepartment;app;Grupo interno / subdepartamento;Barne taldea / azpisaila;;TRUE;
app.filters.month_start;app;Inicio periodo;Aldiaren hasiera;;TRUE;
app.filters.month_end;app;Fin periodo;Aldiaren amaiera;;TRUE;
app.filters.activity_group;app;Grupo de actividad;Jarduera taldea;LEGACY - sustituido por clasificacion de gestion;FALSE;
app.filters.person;app;Persona;Pertsona;;TRUE;
app.filters.top_n;app;Top N elementos en detalle;Top N xehetasunetan;;TRUE;
app.filters.advanced;app;Filtros avanzados;Iragazki aurreratuak;;TRUE;
app.chart.group_by;app;Agrupar gráfica por;Grafikoa honen arabera multzokatu;;TRUE;
app.chart.type;app;Tipo de gráfica;Grafiko mota;;TRUE;
app.chart.monthly;app;Barras mensuales;Hileko barrak;;TRUE;
app.chart.pareto;app;Pareto;Pareto;;TRUE;
analysis.person_load_view;analysis;Horas imputadas por persona;Pertsonako egotzitako orduak;;TRUE;
analysis.person_load_label;analysis;⚙ Carga por persona;⚙ Pertsonako karga;;TRUE;
app.metrics.summary;app;Resumen de horas;Orduen laburpena;;TRUE;
app.available.diagnostics;app;Diagnóstico horas disponibles;Ordu erabilgarrien diagnostikoa;;TRUE;
app.reports.generate;app;Generar informes;Txostenak sortu;;TRUE;
app.reports.download_zip;app;Descargar informe ZIP;Deskargatu ZIP txostena;;TRUE;
report.filters;report;Filtros aplicados;Aplikatutako iragazkiak;;TRUE;
report.filter;report;Filtro;Iragazkia;;TRUE;
report.value;report;Valor;Balioa;;TRUE;
report.executive_summary;report;Resumen ejecutivo;Laburpen exekutiboa;;TRUE;
report.monthly_group;report;Evolución mensual por grupo de actividad;Hileko bilakaera jarduera taldearen arabera;;TRUE;
report.monthly_project;report;Evolución mensual por proyecto;Hileko bilakaera proiektuaren arabera;;TRUE;
report.pareto_group;report;Pareto por grupo de actividad;Pareto jarduera taldearen arabera;;TRUE;
report.pareto_project;report;Pareto por proyecto;Pareto proiektuaren arabera;;TRUE;
report.generated_at;report;Fecha de generación;Sortze data;;TRUE;
report.project_task_assignments;report;Tareas asignadas por proyecto;Proiektu bakoitzean esleitutako zereginak;;TRUE;2026-09-14
column.grupo_actividad;column;Grupo de actividad;Jarduera taldea;LEGACY - sustituido por clasificacion de gestion;FALSE;
column.project_name;column;Proyecto;Proiektua;;TRUE;
column.task_name;column;Tarea;Zeregina;;TRUE;
column.assigned_hours;column;Horas asignadas;Esleitutako orduak;;TRUE;2026-09-14
column.person_name;column;Persona;Pertsona;;TRUE;
column.pertsona;column;Persona;Pertsona;;TRUE;
column.month;column;Mes;Hilabetea;;TRUE;
column.month_name;column;Mes;Hilabetea;;TRUE;
column.horas;column;Horas;Orduak;;TRUE;
column.available_hours;column;Horas disponibles;Ordu erabilgarriak;;TRUE;
column.porcentaje;column;Porcentaje;Ehunekoa;;TRUE;
column.porcentaje_total;column;Porcentaje total;Ehuneko osoa;;TRUE;
column.personas;column;Personas;Pertsonak;;TRUE;
column.tareas;column;Tareas;Zereginak;;TRUE;
value.Orokorrak;value;Generales;Orokorrak;LEGACY - sustituido por clasificacion de gestion;FALSE;
value.Formakuntza;value;Formación;Formakuntza;LEGACY - sustituido por clasificacion de gestion;FALSE;
value.Proiektuak;value;Proyectos;Proiektuak;LEGACY - sustituido por clasificacion de gestion;FALSE;
value.Pendiente de clasificar;value;Pendiente de clasificar;Sailkatu gabe;LEGACY - sustituido por clasificacion de gestion;FALSE;
month.01;month;Enero;Urtarrila;;TRUE;
month.02;month;Febrero;Otsaila;;TRUE;
month.03;month;Marzo;Martxoa;;TRUE;
month.04;month;Abril;Apirila;;TRUE;
month.05;month;Mayo;Maiatza;;TRUE;
month.06;month;Junio;Ekaina;;TRUE;
month.07;month;Julio;Uztaila;;TRUE;
month.08;month;Agosto;Abuztua;;TRUE;
month.09;month;Septiembre;Iraila;;TRUE;
month.10;month;Octubre;Urria;;TRUE;
month.11;month;Noviembre;Azaroa;;TRUE;
month.12;month;Diciembre;Abendua;;TRUE;
app.chart.monthly_label;app;▦ Barras mensuales;▦ Hileko barrak;;TRUE;
app.chart.pareto_label;app;↗ Pareto;↗ Pareto;;TRUE;
app.chart.group_by_activity;app;Grupo de actividad;Jarduera taldea;LEGACY - sustituido por clasificacion de gestion;FALSE;
app.chart.group_by_project;app;Proyecto;Proiektua;;TRUE;
column.hilabete_zk;column;Nº mes;Hilabete zk.;;TRUE;
column.mes_label;column;Mes;Hilabetea;;TRUE;
column.month_display;column;Mes;Hilabetea;;TRUE;
column.data;column;Fecha;Data;;TRUE;
column.date;column;Fecha;Data;;TRUE;
column.available_hours_base;column;Horas base disponibles;Oinarrizko ordu erabilgarriak;;TRUE;
column.calculated_available_hours;column;Horas disponibles calculadas;Kalkulatutako ordu erabilgarriak;;TRUE;
column.person_specific_available_hours;column;Horas específicas persona;Pertsonaren ordu espezifikoak;;TRUE;
column.workload_factor;column;Factor de jornada;Lanaldi faktorea;;TRUE;
column.weekly_hours;column;Horas semanales;Asteko orduak;;TRUE;
column.person_key;column;Clave persona;Pertsona gakoa;;TRUE;
column.employee_name;column;Persona;Pertsona;;TRUE;
column.hours;column;Horas;Orduak;;TRUE;
column.percentage;column;Porcentaje;Ehunekoa;;TRUE;
column.people_count;column;Nº personas;Pertsona kopurua;;TRUE;
column.projects_count;column;Nº proyectos;Proiektu kopurua;;TRUE;
column.tasks_count;column;Nº tareas;Zeregin kopurua;;TRUE;
column.base_source;column;Fuente base;Oinarrizko iturria;;TRUE;
column.base_scope_name;column;Alcance base;Oinarrizko eremua;;TRUE;
column.base_scope_type;column;Tipo de alcance;Eremu mota;;TRUE;
column.reason;column;Motivo;Arrazoia;;TRUE;
column.source_scope_type;column;Tipo de fuente;Iturri mota;;TRUE;
column.source_scope_name;column;Fuente usada;Erabilitako iturria;;TRUE;
column.ordu_errealak;column;Horas imputadas;Egotzitako orduak;;TRUE;
column.azalpena;column;Descripción;Azalpena;;TRUE;
column.saila;column;Departamento;Saila;;TRUE;
column.lerroak;column;Líneas;Lerroak;;TRUE;
column.pertsonak;column;Personas;Pertsonak;;TRUE;
column.proiektuak;column;Proyectos;Proiektuak;;TRUE;
column.atazak;column;Tareas;Zereginak;;TRUE;
column.configured;column;Configurado;Konfiguratuta;;TRUE;
app.nav.section;app;Sección;Atala;;TRUE;
